I feel astonished,High arousal
I feel alarmed,High arousal
I feel angry,High arousal
I feel excited,High arousal
I feel afraid,High arousal
I am astonished,High arousal
I am alarmed,High arousal
I am angry,High arousal
I am excited,High arousal
I am afraid,High arousal
we feel astonished,High arousal
we feel alarmed,High arousal
we feel angry,High arousal
we feel excited,High arousal
we feel afraid,High arousal
we are astonished,High arousal
we are alarmed,High arousal
we are angry,High arousal
we are excited,High arousal
we are afraid,High arousal
I feel tired,Low arousal
I feel sleepy,Low arousal
I feel calm,Low arousal
I feel satisfied,Low arousal
I feel depressed,Low arousal
I am tired,Low arousal
I am sleepy,Low arousal
I am calm,Low arousal
I am satisfied,Low arousal
I am depressed,Low arousal
we feel tired,Low arousal
we feel sleepy,Low arousal
we feel calm,Low arousal
we feel satisfied,Low arousal
we feel depressed,Low arousal
we are tired,Low arousal
we are sleepy,Low arousal
we are calm,Low arousal
we are satisfied,Low arousal
we are depressed,Low arousal
I feel astonished,I
I feel alarmed,I
I feel angry,I
I feel excited,I
I feel afraid,I
I am astonished,I
I am alarmed,I
I am angry,I
I am excited,I
I am afraid,I
I feel tired,I
I feel sleepy,I
I feel calm,I
I feel satisfied,I
I feel depressed,I
I am tired,I
I am sleepy,I
I am calm,I
I am satisfied,I
I am depressed,I
we feel astonished,WE
we feel alarmed,WE
we feel angry,WE
we feel excited,WE
we feel afraid,WE
we are astonished,WE
we are alarmed,WE
we are angry,WE
we are excited,WE
we are afraid,WE
we feel tired,WE
we feel sleepy,WE
we feel calm,WE
we feel satisfied,WE
we feel depressed,WE
we are tired,WE
we are sleepy,WE
we are calm,WE
we are satisfied,WE
we are depressed,WE
